Territorial_Authority,Total_Population
Far North District,73800
Whangarei District,100500
Kaipara District,27200
Auckland,1695200
Thames-Coromandel District,33700
Hauraki District,22200
Waikato District,88900
Matamata-Piako District,37100
Hamilton City,179900
Waipa District,60500
Otorohanga District,10850
South Waikato District,25900
Waitomo District,9670
Taupo District,41400
Western Bay of Plenty District,59700
Tauranga City,158300
Rotorua District,76800
Whakatane District,38300
Kawerau District,7760
Opotiki District,10500
Gisborne District,52100
Wairoa District,9190
Hastings District,90600
Napier City,66800
Central Hawke's Bay District,15950
New Plymouth District,87700
Stratford District,10150
South Taranaki District,29600
Ruapehu District,13000
Whanganui District,48700
Rangitikei District,16100
Manawatu District,33900
Palmerston North City,90400
Tararua District,19050
Horowhenua District,37000
Kapiti Coast District,57600
Porirua City,61600
Upper Hutt City,47700
Lower Hutt City,112500
Wellington City,213100
Masterton District,29000
Carterton District,10250
South Wairarapa District,11750
Tasman District,58700
Nelson City,54500
Marlborough District,51900
Kaikoura District,4160
Buller District,9730
Grey District,14200
Westland District,8820
Hurunui District,13700
Waimakariri District,67900
Christchurch City,389300
Selwyn District,79300
Ashburton District,36300
Timaru District,48500
Mackenzie District,5460
Waimate District,8320
Chatham Islands Territory,800
Waitaki District,24000
Central Otago District,25500
Queenstown-Lakes District,49500
Dunedin City,130400
Clutha District,18650
Southland District,32600
Gore District,13000
Invercargill City,56800
