"","Territorial_Authority","Anzsoc_Division","Total_Victimisations"
"1","Area Outside Territorial Authority","Acts Intended to Cause Injury",17
"2","Area Outside Territorial Authority","Robbery, Extortion and Related Offences",2
"3","Area Outside Territorial Authority","Sexual Assault and Related Offences",2
"4","Area Outside Territorial Authority","Theft and Related Offences",26
"5","Area Outside Territorial Authority","Unlawful Entry With Intent/Burglary, Break and Enter",5
"6","Ashburton District","Acts Intended to Cause Injury",158
"7","Ashburton District","Robbery, Extortion and Related Offences",12
"8","Ashburton District","Sexual Assault and Related Offences",16
"9","Ashburton District","Theft and Related Offences",306
"10","Ashburton District","Unlawful Entry With Intent/Burglary, Break and Enter",123
"11","Auckland","Abduction, Harassment and Other Related Offences Against a Person",68
"12","Auckland","Acts Intended to Cause Injury",11926
"13","Auckland","Robbery, Extortion and Related Offences",1071
"14","Auckland","Sexual Assault and Related Offences",883
"15","Auckland","Theft and Related Offences",41184
"16","Auckland","Unlawful Entry With Intent/Burglary, Break and Enter",11167
"17","Buller District","Acts Intended to Cause Injury",67
"18","Buller District","Robbery, Extortion and Related Offences",1
"19","Buller District","Sexual Assault and Related Offences",9
"20","Buller District","Theft and Related Offences",98
"21","Buller District","Unlawful Entry With Intent/Burglary, Break and Enter",70
"22","Carterton District","Acts Intended to Cause Injury",47
"23","Carterton District","Robbery, Extortion and Related Offences",2
"24","Carterton District","Sexual Assault and Related Offences",3
"25","Carterton District","Theft and Related Offences",55
"26","Carterton District","Unlawful Entry With Intent/Burglary, Break and Enter",52
"27","Central Hawke's Bay District","Acts Intended to Cause Injury",65
"28","Central Hawke's Bay District","Robbery, Extortion and Related Offences",6
"29","Central Hawke's Bay District","Sexual Assault and Related Offences",10
"30","Central Hawke's Bay District","Theft and Related Offences",105
"31","Central Hawke's Bay District","Unlawful Entry With Intent/Burglary, Break and Enter",66
"32","Central Otago District","Acts Intended to Cause Injury",106
"33","Central Otago District","Robbery, Extortion and Related Offences",3
"34","Central Otago District","Sexual Assault and Related Offences",14
"35","Central Otago District","Theft and Related Offences",85
"36","Central Otago District","Unlawful Entry With Intent/Burglary, Break and Enter",55
"37","Chatham Islands Territory","Acts Intended to Cause Injury",2
"38","Chatham Islands Territory","Theft and Related Offences",4
"39","Chatham Islands Territory","Unlawful Entry With Intent/Burglary, Break and Enter",1
"40","Christchurch City","Abduction, Harassment and Other Related Offences Against a Person",18
"41","Christchurch City","Acts Intended to Cause Injury",2440
"42","Christchurch City","Robbery, Extortion and Related Offences",318
"43","Christchurch City","Sexual Assault and Related Offences",340
"44","Christchurch City","Theft and Related Offences",14010
"45","Christchurch City","Unlawful Entry With Intent/Burglary, Break and Enter",4262
"46","Clutha District","Acts Intended to Cause Injury",110
"47","Clutha District","Robbery, Extortion and Related Offences",4
"48","Clutha District","Sexual Assault and Related Offences",14
"49","Clutha District","Theft and Related Offences",77
"50","Clutha District","Unlawful Entry With Intent/Burglary, Break and Enter",83
