Territorial_Authority,Price
Far North District,700402
Whangarei District,736658
Kaipara District,818262
Auckland,1259185
Thames-Coromandel District,1157623
Hauraki District,631049
Hamilton City,800437
Matamata-Piako District,704001
Otorohanga District,519134
South Waikato District,426624
Taupo District,829769
Waikato District,726521
Waipa District,871229
Waitomo District,398629
Kawerau District,389679
Opotiki District,538485
Rotorua District,638234
Tauranga City,1017984
Western Bay of Plenty District,976065
Whakatane District,728386
Gisborne District,589585
Central Hawke's Bay District,588040
Hastings District,765170
Napier City,741618
Wairoa District,417440
New Plymouth District,714371
South Taranaki District,437608
Stratford District,471430
Horowhenua District,551960
Manawatu District,612575
Palmerston North City,637900
Rangitikei District,431086
Ruapehu District,369189
Tararua District,400978
Whanganui District,499207
Carterton District,633301
Lower Hutt City,768115
Kapiti Coast District,805926
Porirua City,801428
Masterton District,557633
South Wairarapa District,766986
Upper Hutt City,725534
Wellington City,1019077
Marlborough District,682993
Tasman District,769331
Nelson City,783897
Buller District,336345
Grey District,361677
Westland District,394958
Hurunui District,624404
Kaikoura District,566219
Christchurch City,730646
Mackenzie District,750518
Selwyn District,801054
Ashburton District,532157
Timaru District,500787
Waimakariri District,697534
Waimate District,442382
Waitaki District,467713
Dunedin City,616117
Central Otago District,788144
Clutha District,392835
Queenstown-Lakes District,1670801
Gore District,395015
Invercargill City,456153
Southland District,492354
