,New Zealand,"$907,415"
,,
,Far North District,"$700,402"
,,
,Whangarei District,"$736,658"
,,
,Kaipara District,"$818,262"
,,
,Auckland,"$1,259,185"
,,
,Thames-Coromandel District,"$1,157,623"
,,
,Hauraki District,"$631,049"
,,
,Hamilton City,"$800,437"
,,
,Matamata-Piako District,"$704,001"
,,
,Otorohanga District,"$519,134"
,,
,South Waikato District,"$426,624"
,,
,Taupo District,"$829,769"
,,
,Waikato District,"$726,521"
,,
,Waipa District,"$871,229"
,,
,Waitomo District,"$398,629"
,,
,Kawerau District,"$389,679"
,,
,Opotiki District,"$538,485"
,,
,Rotorua District,"$638,234"
,,
,Tauranga City,"$1,017,984"
,,
,Western Bay of Plenty District,"$976,065"
,,
,Whakatane District,"$728,386"
,,
,Gisborne District,"$589,585"
,,
,Central Hawke's Bay District,"$588,040"
,,
,Hastings District,"$765,170"
,,
,Napier City,"$741,618"
,,
,Wairoa District,"$417,440"
,,
,New Plymouth District,"$714,371"
,,
,South Taranaki District,"$437,608"
,,
,Stratford District,"$471,430"
,,
,Horowhenua District,"$551,960"
,,
,Manawatu District,"$612,575"
,,
,Palmerston North City,"$637,900"
,,
,Rangitikei District,"$431,086"
,,
,Ruapehu District,"$369,189"
,,
,Tararua District,"$400,978"
,,
,Whanganui District,"$499,207"
,,
,Carterton District,"$633,301"
,,
,Lower Hutt City,"$768,115"
,,
,Kapiti Coast District,"$805,926"
,,
,Porirua City,"$801,428"
,,
,Masterton District,"$557,633"
,,
,South Wairarapa District,"$766,986"
,,
,Upper Hutt City,"$725,534"
,,
,Wellington City,"$1,019,077"
,,
,Marlborough District,"$682,993"
,,
,Tasman District,"$769,331"
,,
,Nelson City,"$783,897"
,,
,Buller District,"$336,345"
,,
,Grey District,"$361,677"
,,
,Westland District,"$394,958"
,,
,Hurunui District,"$624,404"
,,
,Kaikoura District,"$566,219"
,,
,Christchurch City,"$730,646"
,,
,Mackenzie District,"$750,518"
,,
,Selwyn District,"$801,054"
,,
,Ashburton District,"$532,157"
,,
,Timaru District,"$500,787"
,,
,Waimakariri District,"$697,534"
,,
,Waimate District,"$442,382"
,,
,Waitaki District,"$467,713"
,,
,Dunedin City,"$616,117"
,,
,Central Otago District,"$788,144"
,,
,Clutha District,"$392,835"
,,
,Queenstown-Lakes District,"$1,670,801"
,,
,Gore District,"$395,015"
,,
,Invercargill City,"$456,153"
,,
,Southland District,"$492,354"
,,
